tth,A-1.5.cps,A-11.5.cps,A-13.5.cps,A-15.5.cps,A-3.5.cps,A-5.5.cps,A-7.5.cps,A-9.5.cps,B-1.5.cps,B-11.5.cps,B-13.5.cps,B-3.5.cps,B-5.5.cps,B-7.5.cps,B-9.5.cps
3.000099897,3.174019667,3.137254961,3.253676531,2.971813781,3.100490254,3.235294178,2.849264759,3.272058885,3.204656923,3.327205945,2.702205933,3.002451037,2.62867652,2.144607883,3.339460847
3.020565066,3.063725547,3.02083339,2.769607895,2.928921623,2.886029466,2.849264759,2.769607895,3.204656923,3.204656923,3.308823591,2.751225542,3.112745156,2.990196134,2.199754943,2.959558879
3.041030236,2.861519661,2.849264759,2.726715737,3.088235352,2.96568633,2.984068683,2.726715737,3.296568689,3.174019667,3.308823591,2.984068683,2.959558879,2.818627504,2.193627492,3.198529472
3.061495405,3.125000058,2.85539221,2.904411819,3.02083339,2.647058873,2.818627504,2.696078482,3.125000058,3.033088292,3.216911825,2.794117699,2.68382358,3.026960841,2.144607883,2.935049074
3.081960574,2.947303977,2.837009857,2.879902015,2.977941232,2.886029466,2.457107889,2.781862797,2.977941232,3.137254961,2.947303977,2.714460835,2.85539221,2.794117699,1.997549057,2.751225542
3.102425743,3.051470645,2.702205933,2.751225542,2.775735346,2.861519661,2.634803971,2.745098091,2.849264759,3.02083339,3.253676531,2.830882406,2.745098091,2.941176526,1.973039253,2.824754955
3.122890912,3.008578488,2.647058873,2.634803971,2.68382358,2.689951031,2.745098091,3.026960841,2.922794172,2.941176526,3.008578488,2.659313775,3.033088292,2.953431428,2.040441215,2.941176526
3.143356081,2.849264759,2.830882406,2.530637302,2.659313775,2.653186324,2.775735346,2.334558867,2.781862797,2.971813781,2.830882406,2.665441226,2.80024515,2.542892204,2.028186312,2.665441226
3.16382125,2.68382358,2.732843188,2.591911813,2.549019656,2.481617693,2.68382358,2.708333384,2.720588286,2.665441226,3.008578488,2.524509851,2.634803971,2.787990248,1.899509839,2.481617693
3.184286419,2.886029466,2.426470634,2.549019656,2.450980438,2.383578476,2.702205933,2.579656911,2.689951031,2.849264759,2.677696129,2.677696129,2.579656911,2.549019656,2.120098079,2.849264759
3.204751588,2.481617693,2.708333384,2.549019656,2.46323534,2.579656911,2.665441226,2.450980438,2.665441226,2.757352993,2.714460835,2.500000047,2.487745145,2.401960829,1.917892193,2.659313775
3.225216758,2.634803971,2.781862797,2.481617693,2.512254949,2.469362791,2.487745145,2.230392199,2.775735346,2.68382358,2.781862797,2.46323534,2.647058873,2.579656911,1.838235328,2.732843188
3.245681927,2.812500053,2.475490242,2.591911813,2.261029454,2.475490242,2.530637302,2.555147107,2.481617693,2.579656911,2.634803971,2.377451025,2.579656911,2.457107889,1.78921572,2.647058873
3.266147096,2.5183824,2.383578476,2.279411807,2.450980438,2.610294166,2.365196123,2.62867652,2.555147107,2.634803971,2.634803971,2.616421618,2.383578476,2.279411807,1.84436278,2.432598085
3.286612265,2.57352946,2.57352946,2.310049063,2.487745145,2.444852987,2.35294122,2.542892204,2.500000047,2.493872596,2.610294166,2.334558867,2.420343183,2.12622553,1.979166704,2.469362791
3.307077434,2.68382358,2.395833378,2.322303965,2.450980438,2.144607883,2.506127498,2.377451025,2.267156905,2.475490242,2.604166715,2.35294122,2.230392199,2.095588274,1.776960818,2.57352946
3.327542603,2.610294166,2.567402009,2.359068672,2.46323534,2.35294122,2.175245139,2.205882394,2.254902003,2.230392199,2.598039264,2.18137259,2.273284356,2.340686318,1.73406866,2.481617693
3.348007772,2.340686318,2.444852987,2.107843177,2.316176514,2.365196123,2.35294122,2.218137296,2.205882394,2.346813769,2.383578476,2.132352981,2.414215731,2.46323534,1.770833366,2.383578476
3.368472941,2.438725536,2.46323534,2.322303965,2.224264747,2.077205921,2.242647101,2.549019656,2.524509851,2.383578476,2.500000047,2.346813769,2.316176514,2.132352981,1.519607872,2.512254949
3.38893811,2.212009845,2.297794161,2.371323574,2.205882394,2.150735334,2.29166671,2.169117688,2.187500041,2.267156905,2.285539258,2.058823568,2.144607883,2.29166671,1.611519638,2.389705927
